Brand,Category,Product_Name,Price_Raw,Target_Demographic,Availability_Status,Source_URL,Price_INR
Nike,Men's Graphic T-Shirts,Nike Sportswear Club Fleece Tee,"₹ 2,860","Athletes, Fitness Users & Streetwear Enthusiasts",In Stock,https://www.nike.com/in/,2860.0
Nike,Performance Footwear,Nike Dri-FIT Legend Fitness Tee,"₹ 7,760","Athletes, Fitness Users & Streetwear Enthusiasts",In Stock,https://www.nike.com/in/,7760.0
Nike,Sportswear Tops,Nike Max90 Heavyweight Graphic Tee,"₹ 9,440","Athletes, Fitness Users & Streetwear Enthusiasts",In Stock,https://www.nike.com/in/,9440.0
Nike,Hoodies & Sweatshirts,Nike Pro Warm Tight,"₹ 3,780","Athletes, Fitness Users & Streetwear Enthusiasts",In Stock,https://www.nike.com/in/,3780.0
Nike,Training Tights,Nike Pegasus 40 Running Shoes,"₹ 10,550","Athletes, Fitness Users & Streetwear Enthusiasts",In Stock,https://www.nike.com/in/,10550.0
Nike,Men's Graphic T-Shirts,Nike Court Vision Low,"₹ 10,070","Athletes, Fitness Users & Streetwear Enthusiasts",In Stock,https://www.nike.com/in/,10070.0
Nike,Performance Footwear,Nike Sportswear Essential Hoodie,"₹ 7,420","Athletes, Fitness Users & Streetwear Enthusiasts",In Stock,https://www.nike.com/in/,7420.0
Nike,Sportswear Tops,Nike Element Half-Zip,nan,"Athletes, Fitness Users & Streetwear Enthusiasts",Out of Stock,https://www.nike.com/in/,7760.0
Nike,Hoodies & Sweatshirts,Nike Dri-FIT Academy Top,"₹ 9,180","Athletes, Fitness Users & Streetwear Enthusiasts",In Stock,https://www.nike.com/in/,9180.0
Nike,Training Tights,Nike SB Logo Tee,"₹ 1,560","Athletes, Fitness Users & Streetwear Enthusiasts",In Stock,https://www.nike.com/in/,1560.0
adidas,Men's T-Shirts,adidas Essentials Base Tee,"₹ 7,950","Sports Fans, Fitness Users & Lifestyle Consumers",In Stock,https://www.adidas.co.in/,7950.0
adidas,Originals Lifestyle,adidas 3-Stripes Classic Cotton Tee,"₹ 1,410","Sports Fans, Fitness Users & Lifestyle Consumers",In Stock,https://www.adidas.co.in/,1410.0
adidas,Performance Apparel,adidas Performance Aeroready Tee,"₹ 3,520","Sports Fans, Fitness Users & Lifestyle Consumers",In Stock,https://www.adidas.co.in/,3520.0
adidas,Football Jerseys,adidas Originals Trefoil Graphic Tee,"₹ 5,960","Sports Fans, Fitness Users & Lifestyle Consumers",In Stock,https://www.adidas.co.in/,5960.0
adidas,Running Shoes,adidas Samba OG Sneakers,"₹ 9,290","Sports Fans, Fitness Users & Lifestyle Consumers",In Stock,https://www.adidas.co.in/,9290.0
adidas,Men's T-Shirts,adidas Ultraboost Light,"₹ 9,310","Sports Fans, Fitness Users & Lifestyle Consumers",In Stock,https://www.adidas.co.in/,9310.0
adidas,Originals Lifestyle,adidas Tiro Track Pants,"₹ 2,270","Sports Fans, Fitness Users & Lifestyle Consumers",In Stock,https://www.adidas.co.in/,2270.0
adidas,Performance Apparel,adidas Licensed Team Jersey,"₹ 4,570","Sports Fans, Fitness Users & Lifestyle Consumers",In Stock,https://www.adidas.co.in/,4570.0
adidas,Football Jerseys,adidas Motion Graphic Tee,"₹ 8,740","Sports Fans, Fitness Users & Lifestyle Consumers",In Stock,https://www.adidas.co.in/,8740.0
adidas,Running Shoes,adidas Z.N.E. Full-Zip Hoodie,"₹ 7,290","Sports Fans, Fitness Users & Lifestyle Consumers",In Stock,https://www.adidas.co.in/,7290.0
Zara,Women's Dresses,Zara Basic Short Fitted Dress,"₹ 7,250",Fashion-conscious Young Adults & Professionals,In Stock,https://www.zara.com/in/,7250.0
Zara,Men's Shirts,Zara Printed Midi Dress,"₹ 4,690",Fashion-conscious Young Adults & Professionals,In Stock,https://www.zara.com/in/,4690.0
Zara,Blazers & Suits,Zara Satin Effect Shirt Dress,"₹ 6,940",Fashion-conscious Young Adults & Professionals,In Stock,https://www.zara.com/in/,6940.0
Zara,Knitwear,Zara Draped Cut-Out Dress,"₹ 7,160",Fashion-conscious Young Adults & Professionals,In Stock,https://www.zara.com/in/,7160.0
Zara,Contemporary Tops,Zara Limited Edition Embroidered Dress,"₹ 7,910",Fashion-conscious Young Adults & Professionals,In Stock,https://www.zara.com/in/,7910.0
Zara,Women's Dresses,Zara Textured Linen Shirt,"₹ 4,690",Fashion-conscious Young Adults & Professionals,In Stock,https://www.zara.com/in/,4690.0
Zara,Men's Shirts,Zara Oversized Fit Blazer,"₹ 3,320",Fashion-conscious Young Adults & Professionals,In Stock,https://www.zara.com/in/,3320.0
Zara,Blazers & Suits,Zara Cropped Knit Top,"₹ 5,000",Fashion-conscious Young Adults & Professionals,In Stock,https://www.zara.com/in/,5000.0
Zara,Knitwear,Zara Wide-Leg High-Waisted Trousers,"₹ 8,380",Fashion-conscious Young Adults & Professionals,In Stock,https://www.zara.com/in/,8380.0
Zara,Contemporary Tops,Zara Faux Leather Jacket,"₹ 4,460",Fashion-conscious Young Adults & Professionals,In Stock,https://www.zara.com/in/,4460.0
